,date,ESG
0,2022-07-28,58.0
0,2022-04-28,67.54
0,2022-01-27,69.32
0,2021-10-28,61.96
0,2021-07-27,56.94
0,2021-04-28,57.27
0,2021-01-27,60.28
0,2020-10-29,57.2
0,2020-07-30,55.91
0,2020-04-30,54.95
0,2020-01-28,54.41
0,2019-10-30,56.44
0,2019-07-31,55.15
0,2019-05-01,55.31
0,2019-01-30,56.45
0,2018-11-05,60.76
0,2018-08-01,53.5
0,2018-05-02,55.03
0,2018-02-02,55.97
0,2017-11-03,60.89
0,2017-08-02,55.7
0,2017-05-03,54.08
0,2017-02-01,54.78
0,2016-10-26,61.01
0,2016-07-27,53.9
0,2016-04-27,53.38
0,2016-01-27,53.44
0,2015-10-28,58.39
0,2015-07-22,53.55
0,2015-04-28,54.08
0,2015-01-28,54.51
0,2014-10-27,57.38
0,2014-07-23,53.64
0,2014-04-24,53.51
0,2014-01-28,53.11
0,2013-10-29,57.3
0,2013-07-24,53.71
0,2013-04-23,54.07
0,2013-01-24,54.1
0,2012-10-31,57.94
0,2012-07-25,53.23
0,2012-04-25,53.33
0,2012-01-25,52.3
0,2011-10-26,56.87
0,2011-07-20,53.81
0,2011-04-21,54.11
0,2011-01-19,54.57
0,2010-10-27,58.13
0,2010-07-21,54.75
0,2010-04-21,55.42
0,2010-01-25,54.28
0,2009-10-27,56.98
0,2009-07-22,51.65
0,2009-04-23,52.03
0,2009-01-22,48.21
0,2008-11-05,53.61
0,2008-07-23,49.7
0,2008-05-01,48.56
0,2008-02-01,49.13
0,2007-11-15,57.02
0,2007-08-07,49.47
0,2007-05-09,49.29
0,2007-02-02,49.5
0,2006-12-29,56.8
0,2006-12-29,50.63
0,2006-05-04,53.19
0,2006-02-03,52.34
0,2005-11-30,59.95
0,2005-08-02,50.93
0,2005-05-04,52.94
0,2005-02-01,51.26
0,2004-12-02,61.02
0,2004-08-04,56.89
0,2004-05-06,57.45
0,2004-02-09,58.31
0,2003-12-19,62.44
0,2003-08-12,60.52
0,2003-05-13,59.45
0,2003-02-10,59.24
0,2002-12-19,61.61
0,2002-08-09,59.53
0,2002-05-14,61.82
0,2002-02-11,64.73
0,2001-12-21,60.08
0,2001-08-13,55.45
0,2001-05-14,59.42
