Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2010-01-04 00:00:00+00:00,1.69,0.79,1.13,-0.18,0.21,0.0
2010-01-05 00:00:00+00:00,0.31,-0.41,1.24,-0.2,0.19,0.0
2010-01-06 00:00:00+00:00,0.13,-0.13,0.57,-0.05,0.2,0.0
2010-01-07 00:00:00+00:00,0.4,0.25,0.98,-0.69,0.22,0.0
2010-01-08 00:00:00+00:00,0.33,0.32,0.01,0.22,-0.37,0.0
2010-01-11 00:00:00+00:00,0.13,-0.13,-0.25,0.19,0.58,0.0
2010-01-12 00:00:00+00:00,-1.0,-0.36,-1.28,0.5,-0.04,0.0
2010-01-13 00:00:00+00:00,0.85,0.32,0.33,-0.36,0.08,0.0
2010-01-14 00:00:00+00:00,0.24,0.24,0.08,-0.3,-0.01,0.0
2010-01-15 00:00:00+00:00,-1.12,-0.19,-0.39,0.61,-0.14,0.0
2010-01-19 00:00:00+00:00,1.26,0.42,-0.21,-0.1,0.01,0.0
2010-01-20 00:00:00+00:00,-0.98,-0.54,0.25,-0.57,-0.14,0.0
2010-01-21 00:00:00+00:00,-1.74,0.13,-1.12,-0.01,-0.46,0.0
2010-01-22 00:00:00+00:00,-2.14,0.51,-0.89,0.46,0.0,0.0
2010-01-25 00:00:00+00:00,0.37,-0.2,0.33,0.08,0.11,0.0
2010-01-26 00:00:00+00:00,-0.45,-0.23,-0.48,0.38,-0.05,0.0
2010-01-27 00:00:00+00:00,0.53,0.23,0.22,-0.94,-0.04,0.0
2010-01-28 00:00:00+00:00,-1.18,-0.51,0.43,-0.04,0.08,0.0
2010-01-29 00:00:00+00:00,-0.97,-0.08,-0.42,-0.19,0.18,0.0
2010-02-01 00:00:00+00:00,1.39,-0.14,0.88,-0.17,0.71,0.0
2010-02-02 00:00:00+00:00,1.21,-0.27,0.64,0.3,0.72,0.0
2010-02-03 00:00:00+00:00,-0.49,0.02,-0.37,0.23,-0.09,0.0
2010-02-04 00:00:00+00:00,-3.14,-0.33,-1.18,0.44,-0.06,0.0
2010-02-05 00:00:00+00:00,0.29,-0.06,0.01,-0.65,-0.15,0.0
2010-02-08 00:00:00+00:00,-0.79,-0.05,-0.36,0.14,0.16,0.0
2010-02-09 00:00:00+00:00,1.33,0.37,0.57,0.33,0.4,0.0
2010-02-10 00:00:00+00:00,-0.17,0.29,0.31,-0.53,-0.07,0.0
